run_accession	sample_alias	sample_title	scientific_name	fastq_bytes	fastq_ftp
ERR13166576	A_3	Biofilm A_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	292785440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/076/ERR13166576/ERR13166576.fastq.gz
ERR13166577	B_1	Biofilm B_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	244216330	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/077/ERR13166577/ERR13166577.fastq.gz
ERR13166581	C_2	Biofilm C_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	321730124	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/081/ERR13166581/ERR13166581.fastq.gz
ERR13166584	D_2	Biofilm D_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	274456663	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/084/ERR13166584/ERR13166584.fastq.gz
ERR13166585	D_3	Biofilm D_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	229244022	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/085/ERR13166585/ERR13166585.fastq.gz
ERR13166586	E_1	Biofilm E_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	314842692	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/086/ERR13166586/ERR13166586.fastq.gz
ERR13166588	E_3	Biofilm E_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	298973003	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/088/ERR13166588/ERR13166588.fastq.gz
ERR13166594	G_3	Biofilm G_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	375997178	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/094/ERR13166594/ERR13166594.fastq.gz
ERR13166595	H_1	Biofilm H_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	250681836	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/095/ERR13166595/ERR13166595.fastq.gz
ERR13166596	H_2	Biofilm H_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	254905263	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/096/ERR13166596/ERR13166596.fastq.gz
ERR13166597	H_3	Biofilm H_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	257878116	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/097/ERR13166597/ERR13166597.fastq.gz
ERR13166598	K_1	Biofilm K_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	422608122	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/098/ERR13166598/ERR13166598.fastq.gz
ERR13166575	A_2	Biofilm A_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	322602218	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/075/ERR13166575/ERR13166575.fastq.gz
ERR13166600	K_3	Biofilm K_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	257594231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/000/ERR13166600/ERR13166600.fastq.gz
ERR13166603	L_3	Biofilm L_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	211412546	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/003/ERR13166603/ERR13166603.fastq.gz
ERR13166579	B_3	Biofilm B_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	324741358	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/079/ERR13166579/ERR13166579.fastq.gz
ERR13166583	D_1	Biofilm D_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	310778900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/083/ERR13166583/ERR13166583.fastq.gz
ERR13166587	E_2	Biofilm E_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	279130937	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/087/ERR13166587/ERR13166587.fastq.gz
ERR13166591	F_3	Biofilm F_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	225957548	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/091/ERR13166591/ERR13166591.fastq.gz
ERR13166593	G_2	Biofilm G_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	175012929	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/093/ERR13166593/ERR13166593.fastq.gz
ERR13166601	L_1	Biofilm L_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	343761948	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/001/ERR13166601/ERR13166601.fastq.gz
ERR13166602	L_2	Biofilm L_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	302683982	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/002/ERR13166602/ERR13166602.fastq.gz
ERR13166574	A_1	Biofilm A_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	298603166	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/074/ERR13166574/ERR13166574.fastq.gz
ERR13166578	B_2	Biofilm B_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	244480121	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/078/ERR13166578/ERR13166578.fastq.gz
ERR13166580	C_1	Biofilm C_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	242814355	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/080/ERR13166580/ERR13166580.fastq.gz
ERR13166582	C_3	Biofilm C_3 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	233351546	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/082/ERR13166582/ERR13166582.fastq.gz
ERR13166589	F_1	Biofilm F_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	241772806	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/089/ERR13166589/ERR13166589.fastq.gz
ERR13166590	F_2	Biofilm F_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	119810988	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/090/ERR13166590/ERR13166590.fastq.gz
ERR13166592	G_1	Biofilm G_1 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	364378743	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/092/ERR13166592/ERR13166592.fastq.gz
ERR13166599	K_2	Biofilm K_2 formed during undisturbed growth on a temporary implant abutment in a heathy volunteer's mouth.	human metagenome	347685375	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/099/ERR13166599/ERR13166599.fastq.gz
